Round,Data_set,Study,SR_analysis,Diversity_analysis,Evenness_analysis,Country,Continent,Habitat,Life_form,Latitude,Longitude,Plot_type,Plot_size_min,Plot_size_max,Year1_min,Year1_max,Year2_min,Year2_max,Duration,N_time_points,N_plots_Year1,N_plots_Year2,SR_Year1_CT,SR_Year1_STDEV,SR_Year2_CT,SR_Year2_STDEV,Delta_SR_CT,Delta_SR_STDEV,CT,log_SR_ratio,Diversity_Year1_CT,Diversity_Year2_CT,Evenness_Year1_CT,Evenness_Year2_CT,Datathief,Driver
1,1,s1,1,0,0,"USA, Ohio",NorthAmerica,Savanna/Shrubland,most,41.558,-83.856,permanent,500,500,1988,1988,2002,2002,14,2,2,2,19.8014,1.4304,25.3664,3.5337,,,mean,0.247672821,,,,,yes,Unknown
1,2,s2,1,0,0,"USA, Kansas",NorthAmerica,Grassland,most,38.807075,-99.310341,permanent,1,1,1938,1938,1972,1972,34,35,7,7,3.2812,,9.0505,,,,mean,1.014610796,,,,,yes,Post-disturbance
1,3,s2,1,0,0,"USA, Kansas",NorthAmerica,Grassland,most,38.807075,-99.310341,permanent,1,1,1938,1938,1972,1972,34,35,5,5,2.6103,,8.0137,,,,mean,1.12168742,,,,,yes,Post-disturbance
1,4,s2,1,0,0,"USA, Kansas",NorthAmerica,Grassland,most,38.807075,-99.310341,permanent,1,1,1938,1938,1972,1972,34,35,3,3,7.3536,,9.387,,,,mean,0.244135764,,,,,yes,Post-disturbance
1,5,s3,1,1,0,Uruguay,SouthAmerica,Grassland,most,-32.08333333,-54.5,semi-permanent,144,144,1935,1935,1990,1990,55,2,5,5,38.6,5,57,6.2,,,mean,0.389798991,3.24,3.67,0.67,0.69,no,Herbivory_grazing
1,6,s4,1,0,0,Spain,Europe,Wetland,most,37.68,-0.83,permanent,16,16,1991,1991,2004,2004,13,3,12,12,8.83,2.805922308,7.58,2.598076211,,,mean,-0.152641815,,,,,no,Hydrology
1,7,s5,1,0,0,"USA, Oregon",NorthAmerica,Forest,most,44.21408,-122.257,permanent,1000,1000,1997,1998,2005,2005,7.5,4,4,4,11.5,1.8,11.8,1.6,,,mean,0.025752496,,,0.77,0.79,yes,Unknown
1,8,s6,1,0,0,"USA, Florida",NorthAmerica,Wetland,most,25.3,-80.65,permanent,5,5,1995,1997,2003,2003,7,4,60,60,10,4,11.17,3.3,,,mean,0.11064652,,,,,no,Hydrology
1,9,s7,1,0,0,Belgium,Europe,Forest,most,50.807236,4.702778,semi-permanent,125,225,1954,1955,2000,2000,45.5,2,20,20,24.1,5.736723804,26,4.557411546,,,mean,0.075884698,,,,,no,Canopy_closure
1,10,s8,1,0,1,Belgium,Europe,Forest,understory,50.95497,3.608093,semi-permanent,100,200,1977,1983,2009,2009,29,2,39,39,18.2,4.995998399,15.3,6.244997998,,,mean,-0.173568766,,,0.78,0.77,yes,Canopy_closure
1,11,s8,1,0,1,Belgium,Europe,Forest,understory,50.95497,3.608093,semi-permanent,100,200,1977,1983,2009,2009,29,2,39,39,18,8.118497398,14.4,6.869497798,,,mean,-0.223143551,,,0.78,0.71,yes,Canopy_closure
1,12,s9,1,0,0,United Kingdom,Europe,Forest,understory,51.82666667,-2.66,permanent,32,32,1979,1979,2009,2009,30,2,35,35,21.3,,15.5,,,,mean,-0.317867049,,,,,no,Herbivory_grazing
1,13,s10,1,0,0,"USA, New Mexico",NorthAmerica,Desert,most,32.5,-106.8,permanent,1,1,1915,1915,2001,2001,86,65,58,58,7.4,,3.8,,,,mean,-0.666478933,,,,,yes,Invasion
1,14,s11,1,0,0,"USA, Kansas",NorthAmerica,Grassland,most,39.089301,-96.578465,permanent,50,50,1990,1990,1998,1998,8,9,8,8,35,,29.8454,2.526916793,,,mean,-0.159317337,,,,,yes,Unknown
1,15,s12a,1,0,0,United Kingdom,Europe,Forest,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,4,4,10,,8,,,,mean,-0.223143551,,,,,no,Management
1,16,s12a,1,0,0,United Kingdom,Europe,Forest,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,11,11,10.6,,10.3,,,,mean,-0.028710106,,,,,no,Management
1,17,s12a,1,0,0,United Kingdom,Europe,Forest,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,6,6,6.8,,6.2,,,,mean,-0.09237332,,,,,no,Management
1,18,s12a,1,0,0,United Kingdom,Europe,Forest,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,4,4,7.5,,6.8,,,,mean,-0.097980408,,,,,no,Management
1,19,s12a,1,0,0,United Kingdom,Europe,Forest,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,5,5,21.2,,16,,,,mean,-0.281412459,,,,,no,Management
1,20,s12a,1,0,0,United Kingdom,Europe,Forest,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,9,9,11,,11.7,,,,mean,0.061693569,,,,,no,Management
1,21,s12a,1,0,0,United Kingdom,Europe,Forest,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,6,6,9.3,,11.7,,,,mean,0.229574442,,,,,no,Management
1,22,s12b,1,0,0,United Kingdom,Europe,Grassland,understory,54.285872,-2.789855,permanent,4,4,1969,1969,1987,1987,18,2,5,5,17.4,,15.8,,,,mean,-0.096460266,,,,,no,Management
1,23,s13,1,0,0,Germany,Europe,Wetland,most,53.748711,7.514191,permanent,4,4,2002,2002,2007,2007,5,5,16,16,8.3,,5.9,,,,mean,-0.341303164,,,,,no,Management
1,24,s13,1,0,0,Germany,Europe,Wetland,most,53.748711,7.514191,permanent,4,4,2002,2002,2007,2007,5,5,19,19,10.1,,9.4,,,,mean,-0.071825735,,,,,no,Management
1,25,s13,1,0,0,Germany,Europe,Wetland,most,53.748711,7.514191,permanent,4,4,2002,2002,2007,2007,5,5,8,8,8.6,,5.8,,,,mean,-0.393904286,,,,,no,Management
1,26,s13,1,0,0,Germany,Europe,Wetland,most,53.748711,7.514191,permanent,4,4,2002,2002,2007,2007,5,4,6,6,12.6,,12.6,,,,mean,0,,,,,no,Management
